TIME,PDCSAP_FLUX
0.02043320710072294,0.3249512
0.04086621443275362,0.30237716
0.06129932129260851,0.3150612
0.08173252792767016,0.25057656
0.10216553456120891,0.2597126
0.12259864095540252,0.2120809
0.14303184712480288,0.22880077
0.1634648530598497,0.23669505
0.18389805875631282,0.23035303
0.204331064458529,0.25057656
0.22476416992867598,0.28419372
0.24519737492664717,0.30694517
0.26563038016320206,0.259003
0.2860634849348571,0.28348413
0.306496689467167,0.28885046
0.3269297940059914,0.2931524
0.34736279831122374,0.28095618
0.36779600237787236,0.30632427
0.38822910621820483,0.300204
0.4086621098249452,0.27913785
0.42909531342593255,0.3020667
0.4495284165677731,0.2638815
0.46996161970309913,0.28069007
0.4903946226113476,0.28747562
0.5108277255203575,0.28805214
0.5312609279571916,0.26507893
0.5516939303997788,0.3057034
0.5721270326102967,0.2762551
0.5925602345814696,0.30353025
0.6129932363255648,0.28516942
0.6334263378375908,0.34708178
0.6538595393431024,0.3178109
0.6742925406215363,0.2546124
0.6947257416686625,0.2763438
0.7151588424749207,0.2719975
0.7355919430556241,0.29909527
0.7560250436363276,0.32091537
0.7764581437440938,0.2943942
0.796891243859136,0.29936135
0.8173243437413475,0.32033885
0.8377574436162831,0.29803085
0.8786236424493836,0.29124534
0.8990567416258273,0.29692212
0.9194897405759548,0.32765657
0.9399229392947746,0.31652474
0.9603560377727263,0.32783395
0.9807892362587154,0.35932234
1.001222234510351,0.34100586
1.0216553325226414,0.368281
1.0420885303101386,0.36885756
1.0625215278632822,0.39200816
1.0829546254099114,0.37821537
1.1033878224989166,0.39741883
1.123820819586399,0.37950152
1.1442539164345362,0.37604222
1.1646871132907108,0.34898883
1.1851201096797013,0.3643782
1.2055533060629386,0.37790492
1.2259864022198599,0.40544617
1.246419398143189,0.3916977
1.2668525938279345,0.3764857
1.2872856895191944,0.39635444
1.3077187847375171,0.4001242
1.3281518799631158,0.44434097
1.3485849749558838,0.4058453
1.3690180697158212,0.36224943
1.3894511644684826,0.39848325
1.4098842587627587,0.45440838
1.4303174530505203,0.40526876
1.4507504471112043,0.3653539
1.4711835411726497,0.4074419
1.4916167347619194,0.38318256
1.5120498283577035,0.41076815
1.532482821487065,0.46052864
1.5529160146106733,0.4591538
1.5733490077400347,0.41325173
1.5937821004044963,0.42731062
1.6142152930624434,0.42203298
1.6346482852604822,0.46944296
1.6550813774592825,0.45569453
1.6755145694187377,0.42908463
1.6959475613839459,0.47720417
1.7163807528850157,0.49157354
1.736813844378048,0.4715274
1.7572468356447644,0.46350008
1.7776800266801729,0.43134645
1.798113117707544,0.47609544
1.8185462082765298,0.5339276
1.8389792988455156,0.49170658
1.8594123891743948,0.528783
1.8798454792777193,0.51578856
1.9002785693810438,0.5568565
1.920711659011431,0.5083378
1.9411448486498557,0.49489978
1.9615779380546883,0.5034593
1.9820109272186528,0.50066525
2.0024441161585855,0.51494586
2.022877205097757,0.51627636
2.04331019379606,0.5568121
2.0637433822703315,0.4653628
2.084176470511011,0.51499027
2.104609458510822,0.51836085
2.1250426465194323,0.59703743
2.1454757342944504,0.5774792
2.1659089218301233,0.57353204
2.1863419091387186,0.61318076
2.2067749962152448,0.5623559
2.227208083284495,0.57495123
2.2476411701281904,0.5643073
2.268074156738294,0.58821183
2.2885073431098135,0.5658595
2.308940429255017,0.60204893
2.3293735154002206,0.5621785
2.3498066013053176,0.6193898
2.37023968698486,0.58710307
2.3906727724315715,0.58967537
2.411105857871007,0.6022707
2.4315389428520575,0.61823666
2.4519721278338693,0.6377062
2.4724051125740516,0.59601736
2.4928381970894407,0.59544086
2.513271381598315,0.6464875
2.533704465648043,0.6255987
2.5541374496970093,0.59921056
2.5745706337474985,0.61349124
2.595003717324289,0.5952634
2.6154367006747634,0.6537165
2.6358698840194847,0.6738957
2.65630296713789,0.6581515
2.676736150024226,0.6598811
2.6971691326762084,0.6432499
2.7176022153216763,0.64546746
2.738035397742351,0.6667554
2.7584683799213963,0.6320295
2.7789014618756482,0.6554018
2.799334643597831,0.62072027
2.819767625318491,0.63610965
2.8402007067998056,0.6228047
2.8606337880555657,0.6472414
2.881066869071219,0.61513215
2.9015000498620793,0.61934537
2.9219330306514166,0.6538939
2.9423661112086847,0.6377949
2.9627992915266077,0.6413873
2.9832323716182145,0.6362427
3.003665351701784,0.696248
3.0240985315613216,0.70214653
3.044531611187267,0.6579298
3.0649645905796206,0.71221393
3.0853977697333903,0.67988294
3.1058308488936746,0.66147774
3.12626382758026,0.68941814
3.1466970062756445,0.6608125
3.1671300849702675,0.67402875
3.1875632631927147,0.6556679
3.207996241420915,0.6861806
3.228429319417046,0.6833422
3.248862497173832,0.6754036
3.26929547470354,0.7275146
3.289728552001179,0.6918574
3.310161729292304,0.71248007
3.330594706356351,0.6503459
3.3510277831883286,0.68303174
3.371460960013792,0.680149
3.391893936379347,0.7297765
3.412327112746425,0.6955384
3.432760188872635,0.7245432
3.45319326477329,0.7027231
3.4736263406739454,0.7524836
3.4940594161016634,0.76126486
3.5144924915366573,0.7255189
3.5349255667388206,0.801091
3.555358641933708,0.78849566
3.57579171667021,0.7763438
3.596224791406712,0.7416622
3.6166578659031074,0.7619301
3.637090940173948,0.7170037
3.657524014444789,0.7218379
3.6779570882426924,0.73474365
3.6983902620486333,0.7604666
3.7188232356129447,0.7407309
3.7392563091852935,0.75682986
3.7596894822927425,0.74827033
3.780122460288112,0.758116
3.800555533154693,0.79740995
3.8209887057964806,0.7478269
3.861854750837665,0.7793596
3.882287922780961,0.7500887
3.9027208947227336,0.7456981
